transaction_id,timestamp,card_id,merchant_id,merchant_category,amount,city,hour,is_foreign,transaction_count_1h,amount_zscore,is_high_amount,is_night,velocity_flag,risk_score,risk_tier,is_fraud
TXN_0007080,2024-02-19 06:13:29,CARD_8842,MERCH_964,travel,1168.02,Dallas,6,True,4,1.6276,1,0,1,88.1,HIGH,0
TXN_0007870,2024-01-22 03:11:26,CARD_9447,MERCH_176,grocery,109.34,Houston,3,True,4,1.2741,0,1,1,71.4,HIGH,0
TXN_0003453,2024-01-30 01:41:09,CARD_9126,MERCH_882,grocery,91.09,San Jose,1,True,4,0.7401,0,1,1,68.7,HIGH,0
TXN_0003504,2024-03-01 11:05:20,CARD_7024,MERCH_889,electronics,1090.78,Charlotte,11,False,5,2.6054,1,0,1,68.0,HIGH,1
TXN_0003750,2024-01-27 07:34:27,CARD_6123,MERCH_140,grocery,119.55,Dallas,7,True,4,1.5728,0,0,1,67.9,HIGH,0
TXN_0003599,2024-02-03 22:42:16,CARD_9192,MERCH_954,restaurant,68.46,Houston,22,True,4,1.4247,0,0,1,67.1,HIGH,0
TXN_0004085,2024-02-14 03:07:28,CARD_5246,MERCH_957,atm,227.72,Phoenix,3,True,4,0.3665,0,1,1,66.8,HIGH,0
TXN_0007583,2024-01-20 01:53:31,CARD_1240,MERCH_689,travel,1066.9,Fort Worth,1,False,4,1.3623,1,1,1,66.8,HIGH,1
TXN_0008480,2024-01-22 10:16:56,CARD_7024,MERCH_504,grocery,109.21,Chicago,10,True,5,1.2703,0,0,1,66.4,HIGH,0
TXN_0004796,2024-01-24 22:09:00,CARD_2052,MERCH_573,grocery,106.32,Dallas,22,True,5,1.1857,0,0,1,65.9,HIGH,0
TXN_0006089,2024-02-23 01:50:12,CARD_6134,MERCH_112,electronics,710.81,Dallas,1,False,4,1.1706,1,1,1,65.9,HIGH,0
TXN_0006254,2024-01-28 20:02:26,CARD_4735,MERCH_561,atm,312.6,Phoenix,20,True,5,1.0736,0,0,1,65.4,HIGH,0
TXN_0003838,2024-02-25 02:36:51,CARD_9295,MERCH_513,travel,940.97,San Diego,2,False,6,1.0318,1,1,1,65.2,HIGH,1
TXN_0009335,2024-01-08 04:43:11,CARD_9415,MERCH_472,travel,933.78,New York,4,False,4,1.013,1,1,1,65.1,HIGH,0
TXN_0001084,2024-01-14 02:56:19,CARD_4783,MERCH_910,pharmacy,34.18,Los Angeles,2,True,4,-0.3466,0,1,1,65.0,HIGH,0
TXN_0006165,2024-02-13 00:57:03,CARD_1828,MERCH_298,online_retail,103.55,Austin,0,True,4,-0.2784,0,1,1,65.0,HIGH,0
TXN_0000641,2024-02-13 03:21:20,CARD_1184,MERCH_112,travel,315.02,Chicago,3,True,5,-0.6107,0,1,1,65.0,HIGH,1
TXN_0009895,2024-01-09 23:36:53,CARD_5701,MERCH_176,travel,1288.41,Charlotte,23,False,8,1.9435,1,0,1,64.7,HIGH,1
TXN_0004092,2024-02-09 00:20:25,CARD_6878,MERCH_482,travel,792.51,Chicago,0,False,8,0.6423,1,1,1,63.2,HIGH,1
TXN_0000573,2024-02-16 10:48:20,CARD_1259,MERCH_378,electronics,825.79,Los Angeles,10,False,4,1.6048,1,0,1,63.0,HIGH,0
TXN_0000045,2024-03-11 01:43:08,CARD_9798,MERCH_903,travel,775.33,Fort Worth,1,False,4,0.5972,1,1,1,63.0,HIGH,1
TXN_0005946,2024-03-23 17:41:46,CARD_7319,MERCH_140,grocery,81.03,Philadelphia,17,True,8,0.4458,0,0,1,62.2,HIGH,0
TXN_0009054,2024-01-31 02:47:04,CARD_1197,MERCH_721,travel,707.52,San Jose,2,False,5,0.4193,1,1,1,62.1,HIGH,0
TXN_0008675,2024-03-04 05:22:47,CARD_1796,MERCH_722,electronics,754.64,Dallas,5,False,4,1.3361,1,0,1,61.7,HIGH,1
TXN_0005294,2024-01-15 20:00:22,CARD_9455,MERCH_561,electronics,737.61,Charlotte,20,False,8,1.2718,1,0,1,61.4,HIGH,1
