transaction_id,timestamp,card_id,merchant_id,merchant_category,amount,city,hour,is_foreign,transaction_count_1h,amount_zscore,is_high_amount,is_night,velocity_flag,risk_score,risk_tier,is_fraud
TXN_0000000,2024-01-13 06:07:36,CARD_1352,MERCH_472,electronics,0.01,Columbus,6,False,2,-1.5135,0,0,0,0.0,LOW,0
TXN_0000001,2024-01-29 09:51:40,CARD_7373,MERCH_957,restaurant,62.87,San Diego,9,False,2,1.1633,0,0,0,5.8,LOW,0
TXN_0000002,2024-01-25 06:35:25,CARD_1350,MERCH_140,travel,1036.74,Philadelphia,6,False,2,1.2831,1,0,0,26.4,MEDIUM,0
TXN_0000003,2024-01-16 04:19:26,CARD_9992,MERCH_185,online_retail,74.94,Dallas,4,True,3,-0.6187,0,1,0,30.0,MEDIUM,0
TXN_0000004,2024-02-28 07:28:06,CARD_1595,MERCH_814,grocery,83.24,Los Angeles,7,False,1,0.5105,0,0,0,2.6,LOW,0
TXN_0000006,2024-02-04 17:41:44,CARD_8881,MERCH_722,electronics,447.73,San Antonio,17,False,2,0.1771,0,0,0,0.9,LOW,0
TXN_0000007,2024-01-11 22:40:24,CARD_9447,MERCH_304,electronics,58.77,Phoenix,22,False,0,-1.2916,0,0,0,0.0,LOW,0
TXN_0000009,2024-03-08 13:52:14,CARD_4000,MERCH_903,restaurant,1.89,Philadelphia,13,False,11,-1.6875,0,0,1,35.0,MEDIUM,0
TXN_0000010,2024-02-12 00:24:30,CARD_6134,MERCH_516,restaurant,0.01,San Antonio,0,False,2,-1.7754,0,1,0,5.0,LOW,0
TXN_0000011,2024-02-10 01:01:52,CARD_8217,MERCH_304,atm,165.37,Jacksonville,1,False,2,-0.1529,0,1,0,5.0,LOW,0
TXN_0000012,2024-02-10 11:27:38,CARD_9415,MERCH_477,online_retail,99.93,Jacksonville,11,False,1,-0.3215,0,0,0,0.0,LOW,0
TXN_0000013,2024-01-18 21:14:45,CARD_4139,MERCH_817,travel,654.37,Phoenix,21,False,2,0.2798,1,0,0,21.4,MEDIUM,0
TXN_0000014,2024-02-03 19:13:01,CARD_5453,MERCH_299,restaurant,23.71,Philadelphia,19,False,0,-0.6674,0,0,0,0.0,LOW,0
TXN_0000015,2024-03-24 23:20:23,CARD_3977,MERCH_931,gas_station,82.71,San Jose,23,False,0,1.8489,0,0,0,9.2,LOW,0
TXN_0000016,2024-01-04 16:53:37,CARD_7415,MERCH_930,online_retail,135.26,Columbus,16,False,4,0.0988,0,0,1,35.5,MEDIUM,0
TXN_0000017,2024-03-11 21:04:57,CARD_8759,MERCH_935,grocery,73.15,Dallas,21,False,8,0.2153,0,0,1,36.1,MEDIUM,0
TXN_0000018,2024-01-15 19:49:12,CARD_8086,MERCH_112,travel,622.84,Los Angeles,19,False,1,0.1971,1,0,0,21.0,MEDIUM,0
TXN_0000019,2024-01-11 07:01:39,CARD_1184,MERCH_614,online_retail,215.28,Dallas,7,False,1,1.0508,0,0,0,5.3,LOW,0
TXN_0000020,2024-01-26 16:54:00,CARD_6458,MERCH_293,electronics,541.28,Austin,16,False,1,0.5304,0,0,0,2.7,LOW,0
TXN_0000021,2024-01-25 04:56:52,CARD_1031,MERCH_278,gas_station,53.84,Charlotte,4,False,0,0.3922,0,1,0,7.0,LOW,0
TXN_0000022,2024-01-29 10:59:02,CARD_3977,MERCH_689,pharmacy,64.08,Columbus,10,False,0,0.6953,0,0,0,3.5,LOW,0
TXN_0000023,2024-03-17 10:47:36,CARD_8987,MERCH_323,atm,0.01,Austin,10,False,2,-1.5304,0,0,0,0.0,LOW,0
TXN_0000024,2024-03-22 10:03:24,CARD_7898,MERCH_930,electronics,0.01,Dallas,10,False,2,-1.5135,0,0,0,0.0,LOW,0
TXN_0000025,2024-03-03 07:39:08,CARD_7703,MERCH_658,grocery,62.34,Chicago,7,False,0,-0.101,0,0,0,0.0,LOW,0
TXN_0000026,2024-01-14 03:47:14,CARD_6134,MERCH_814,restaurant,33.65,Columbus,3,False,1,-0.2027,0,1,0,5.0,LOW,0
TXN_0000027,2024-03-26 02:22:39,CARD_8155,MERCH_323,grocery,85.29,San Diego,2,False,3,0.5704,0,1,0,7.9,LOW,0
TXN_0000028,2024-03-17 06:33:42,CARD_7962,MERCH_797,grocery,65.7,Austin,6,False,0,-0.0027,0,0,0,0.0,LOW,0
TXN_0000029,2024-01-07 20:41:55,CARD_8302,MERCH_708,online_retail,175.28,Jacksonville,20,False,2,0.5749,0,0,0,2.9,LOW,0
TXN_0000030,2024-02-04 20:35:36,CARD_1259,MERCH_675,electronics,31.23,New York,20,False,11,-1.3956,0,0,1,35.0,MEDIUM,0
TXN_0000031,2024-03-10 18:53:17,CARD_2859,MERCH_753,pharmacy,41.68,Philadelphia,18,False,1,-0.0852,0,0,0,0.0,LOW,0
TXN_0000032,2024-01-09 00:35:55,CARD_9725,MERCH_293,gas_station,18.18,Austin,0,False,2,-1.4071,0,1,0,5.0,LOW,0
TXN_0000033,2024-01-07 21:02:55,CARD_7309,MERCH_221,restaurant,46.51,San Diego,21,False,1,0.3985,0,0,0,2.0,LOW,0
TXN_0000034,2024-02-24 12:55:00,CARD_7169,MERCH_472,restaurant,0.01,San Jose,12,False,0,-1.7754,0,0,0,0.0,LOW,0
TXN_0000035,2024-01-31 07:11:23,CARD_7373,MERCH_709,grocery,77.19,Dallas,7,False,7,0.3335,0,0,1,36.7,MEDIUM,0
TXN_0000036,2024-02-09 17:55:23,CARD_4671,MERCH_931,grocery,13.59,New York,17,False,2,-1.5274,0,0,0,0.0,LOW,0
TXN_0000037,2024-03-08 13:26:40,CARD_6317,MERCH_293,restaurant,29.56,Phoenix,13,False,1,-0.3939,0,0,0,0.0,LOW,0
TXN_0000038,2024-02-19 00:51:44,CARD_6472,MERCH_278,gas_station,62.9,San Antonio,0,False,0,0.8493,0,1,0,9.2,LOW,0
TXN_0000039,2024-03-04 23:46:53,CARD_6552,MERCH_114,online_retail,141.6,Philadelphia,23,False,4,0.1743,0,0,1,35.9,MEDIUM,0
TXN_0000040,2024-01-12 08:17:03,CARD_6400,MERCH_868,restaurant,1.8,New York,8,False,1,-1.6917,0,0,0,0.0,LOW,0
TXN_0000041,2024-01-01 04:34:28,CARD_4735,MERCH_115,travel,257.59,New York,4,False,0,-0.7613,0,1,0,5.0,LOW,0
TXN_0000042,2024-01-23 15:36:35,CARD_4139,MERCH_112,online_retail,0.01,Phoenix,15,False,1,-1.5101,0,0,0,0.0,LOW,0
TXN_0000043,2024-01-19 04:11:48,CARD_8217,MERCH_221,gas_station,11.1,Fort Worth,4,False,2,-1.7643,0,1,0,5.0,LOW,0
TXN_0000044,2024-01-30 03:53:58,CARD_1350,MERCH_100,travel,589.42,Charlotte,3,False,0,0.1094,1,1,0,25.5,MEDIUM,0
TXN_0000045,2024-03-11 01:43:08,CARD_9798,MERCH_903,travel,775.33,Fort Worth,1,False,4,0.5972,1,1,1,63.0,HIGH,1
TXN_0000046,2024-01-14 16:16:12,CARD_8771,MERCH_440,restaurant,47.69,Charlotte,16,False,2,0.4537,0,0,0,2.3,LOW,0
TXN_0000047,2024-01-12 08:28:43,CARD_7703,MERCH_899,gas_station,57.05,Columbus,8,False,4,0.5541,0,0,1,37.8,MEDIUM,0
TXN_0000048,2024-01-19 01:36:19,CARD_4139,MERCH_873,online_retail,118.87,Austin,1,True,1,-0.0961,0,1,0,30.0,MEDIUM,0
TXN_0000049,2024-01-30 08:58:42,CARD_9415,MERCH_899,grocery,55.43,Los Angeles,8,False,1,-0.3032,0,0,0,0.0,LOW,0
TXN_0000050,2024-01-18 18:06:41,CARD_7319,MERCH_689,grocery,27.44,Philadelphia,18,False,1,-1.1221,0,0,0,0.0,LOW,0
TXN_0000051,2024-01-17 13:12:04,CARD_9497,MERCH_278,grocery,49.6,Jacksonville,13,False,1,-0.4738,0,0,0,0.0,LOW,0
TXN_0000052,2024-02-22 03:56:00,CARD_9447,MERCH_573,electronics,10.02,Philadelphia,3,False,0,-1.4757,0,1,0,5.0,LOW,0
TXN_0000053,2024-01-11 00:44:30,CARD_9575,MERCH_709,online_retail,39.71,Phoenix,0,False,0,-1.0378,0,1,0,5.0,LOW,0
TXN_0000054,2024-01-14 20:33:09,CARD_4671,MERCH_482,online_retail,128.45,New York,20,False,1,0.0178,0,0,0,0.1,LOW,0
TXN_0000055,2024-03-16 07:06:41,CARD_4735,MERCH_114,electronics,347.01,Philadelphia,7,False,3,-0.2032,0,0,0,0.0,LOW,0
TXN_0000056,2024-01-02 15:19:47,CARD_7532,MERCH_779,restaurant,105.42,Philadelphia,15,False,0,3.1525,0,0,0,15.0,LOW,0
TXN_0000057,2024-01-06 12:29:53,CARD_8759,MERCH_935,online_retail,0.01,Fort Worth,12,False,2,-1.5101,0,0,0,0.0,LOW,0
TXN_0000058,2024-01-07 06:00:38,CARD_7849,MERCH_472,grocery,60.62,Jacksonville,6,True,0,-0.1514,0,0,0,25.0,MEDIUM,0
TXN_0000059,2024-02-18 05:52:04,CARD_8771,MERCH_614,grocery,15.17,Los Angeles,5,False,1,-1.4811,0,0,0,0.0,LOW,0
TXN_0000060,2024-03-03 12:43:00,CARD_9427,MERCH_294,online_retail,83.16,San Diego,12,False,2,-0.521,0,0,0,0.0,LOW,0
TXN_0000061,2024-03-03 08:10:05,CARD_2439,MERCH_713,restaurant,30.36,Columbus,8,False,2,-0.3565,0,0,0,0.0,LOW,0
TXN_0000062,2024-03-03 02:35:16,CARD_7024,MERCH_889,online_retail,200.26,San Diego,2,False,1,0.8721,0,1,0,9.4,LOW,0
TXN_0000063,2024-01-06 04:23:41,CARD_4735,MERCH_561,electronics,254.09,Charlotte,4,False,2,-0.5541,0,1,0,5.0,LOW,0
TXN_0000064,2024-02-01 00:13:03,CARD_8611,MERCH_516,online_retail,101.82,Los Angeles,0,False,1,-0.299,0,1,0,5.0,LOW,0
TXN_0000065,2024-02-27 00:12:06,CARD_5748,MERCH_776,online_retail,79.12,Phoenix,0,False,2,-0.569,0,1,0,5.0,LOW,0
TXN_0000066,2024-03-02 09:14:28,CARD_1273,MERCH_957,online_retail,0.01,Columbus,9,False,0,-1.5101,0,0,0,0.0,LOW,0
TXN_0000068,2024-03-17 04:57:32,CARD_9126,MERCH_722,grocery,51.63,Phoenix,4,False,1,-0.4144,0,1,0,5.0,LOW,0
TXN_0000069,2024-03-16 00:27:27,CARD_1375,MERCH_814,restaurant,39.62,Columbus,0,False,1,0.0764,0,1,0,5.4,LOW,0
TXN_0000070,2024-03-09 21:44:20,CARD_1552,MERCH_722,grocery,84.56,Philadelphia,21,False,1,0.5491,0,0,0,2.7,LOW,0
TXN_0000071,2024-03-12 18:56:41,CARD_8407,MERCH_347,restaurant,32.84,Jacksonville,18,False,3,-0.2406,0,0,0,0.0,LOW,0
